RSF,QuoteDiff,RFPDiff,ATPDiff,Result,Product_ID,Quote,Customer_ID
3,-6200,3,14,0,HS4320,118200,C1
3,3500,4,14,1,HS2323,108500,C1
3,-6200,2,75,0,HS4320,118200,C1
3,-6200,0,14,0,HS4320,118200,C1
3,3500,20,14,1,HS2323,108500,C1
3,3500,3,-17,0,HS2323,108500,C1
3,-6200,0,75,0,HS4320,118200,C1
3,-10200,0,45,0,HS4320,118200,C1
3,-500,0,49,1,HS2323,108500,C1
3,3500,20,-17,0,HS2323,108500,C1
3,-10200,0,45,0,HS4320,118200,C1
3,3500,7,18,1,LS2100,88500,C1
3,19500,7,-12,1,LS2100,88500,C1
3,-500,0,45,0,HS2323,108500,C1
3,-500,0,49,1,HS2323,108500,C1
3,3500,-7,18,0,LS2100,88500,C1
3,19500,-7,-12,1,LS2100,88500,C1
3,-500,7,15,1,HS2323,108500,C1
3,-500,0,45,0,HS2323,108500,C1
3,-500,0,15,1,HS2323,108500,C1
3,2000,-20,-5,0,LS3410,94500,C1
3,-500,-14,14,1,HS2323,108500,C1
3,-500,0,14,1,HS2323,108500,C1
3,2000,0,15,1,LS3410,94500,C1
3,1500,0,9,1,HS2323,108500,C1
3,-1000,5,8,1,HS2200,106000,C1
3,-22800,3,8,0,HS2200,106000,C1
3,-22800,-30,3,0,HS2200,106000,C1
3,1500,0,9,1,HS2323,108500,C1
3,-1000,0,8,1,HS2200,106000,C1
3,-22800,0,8,0,HS2200,106000,C1
3,-4000,0,4,0,HS2200,106000,C1
3,-6500,2,0,0,HS2323,108500,C1
3,8500,5,6,1,HS2323,108500,C1
3,-1000,0,3,1,HS2200,106000,C1
3,-22800,30,3,0,HS2200,106000,C1
3,-3500,4,26,1,HS2323,108500,C1
3,-1000,0,3,1,HS2200,106000,C1
3,1700,-14,6,0,LS7620,112300,C1
3,-4000,0,4,0,HS2200,106000,C1
3,-6500,0,4,0,HS2323,108500,C1
3,8500,14,6,1,HS2323,108500,C1
3,-3500,0,26,1,HS2323,108500,C1
3,1700,14,6,0,LS7620,112300,C1
3,-16660,13,3,0,HS2323,108500,C1
3,-9200,-10,0,0,HS4320,118200,C1
3,-6200,0,3,0,HS4320,118200,C1
3,1700,4,8,1,LS7620,112300,C1
3,1700,5,8,1,LS7620,112300,C1
3,-16660,-13,3,0,HS2323,108500,C1
3,-9200,0,3,0,HS4320,118200,C1
3,-6200,0,3,0,HS4320,118200,C1
4,-5400,4,-17,0,HS4320,118200,C2
4,-5400,0,-17,0,HS4320,118200,C2
4,26500,2,15,1,LS2100,88500,C2
4,0,0,9,1,LS3410,94500,C2
4,26500,-2,15,1,LS2100,88500,C2
4,0,0,9,1,LS3410,94500,C2
4,-2100,0,9,1,LS3410,94500,C2
4,-2100,0,9,1,LS3410,94500,C2
4,2000,0,1,1,HS2200,106000,C2
4,1700,0,66,1,LS7620,112300,C2
4,1700,0,66,1,LS7620,112300,C2
4,-500,15,5,1,HS2323,108500,C2
4,-300,7,0,1,LS7620,112300,C2
4,1700,4,26,0,LS7620,112300,C2
4,-300,0,63,1,LS7620,112300,C2
4,-9200,0,4,0,HS2323,108500,C2
4,-2300,15,14,1,LS7620,112300,C2
4,1500,4,4,0,HS2323,108500,C2
4,2000,0,1,1,HS2200,106000,C2
4,-500,-15,5,0,HS2323,108500,C2
4,-2300,-15,14,1,LS7620,112300,C2
4,-300,0,14,1,LS7620,112300,C2
4,1700,0,6,1,LS7620,112300,C2
4,1700,0,6,1,LS7620,112300,C2
4,1700,0,26,1,LS7620,112300,C2
4,-2300,7,26,1,LS7620,112300,C2
4,-2300,0,26,1,LS7620,112300,C2
4,-500,0,3,1,HS2323,108500,C2
4,1700,0,3,1,LS7620,112300,C2
4,1700,2,28,1,LS7620,112300,C2
4,1500,0,4,1,HS2323,108500,C2
4,1700,0,28,1,LS7620,112300,C2
4,-500,-20,4,0,HS2323,108500,C2
4,-300,0,63,0,LS7620,112300,C2
4,-9200,0,4,1,HS2323,108500,C2
4,-500,0,3,1,HS2323,108500,C2
4,-500,0,4,1,HS2323,108500,C2
4,1700,-13,3,0,LS7620,112300,C2
4,-9700,0,3,1,HS4320,118200,C2
4,-9700,0,3,1,HS4320,118200,C2
3,-16660,0,15,0,HS2323,108500,C3
3,-9200,2,8,0,HS4320,118200,C3
3,-9200,20,14,0,HS4320,118200,C3
3,-16660,0,15,0,HS2323,108500,C3
3,-6200,0,-3,0,HS4320,118200,C3
3,-6200,-20,-17,0,HS4320,118200,C3
3,3500,0,13,1,HS2323,108500,C3
3,-6200,20,-17,0,HS4320,118200,C3
3,-6200,0,45,0,HS4320,118200,C3
3,3500,0,13,1,HS2323,108500,C3
3,-6200,7,18,0,HS4320,118200,C3
3,3500,7,-12,0,HS2323,108500,C3
3,-10200,7,10,0,HS4320,118200,C3
3,-500,0,15,1,HS2323,108500,C3
3,-6200,-7,18,0,HS4320,118200,C3
3,3500,-7,-12,0,HS2323,108500,C3
3,3500,0,-3,0,LS2100,88500,C3
3,-10200,-7,105,0,HS4320,118200,C3
3,19500,2,14,1,LS2100,88500,C3
3,-500,0,1,1,HS2323,108500,C3
3,-500,0,15,1,HS2323,108500,C3
3,3500,0,-3,0,LS2100,88500,C3
3,19500,0,14,1,LS2100,88500,C3
3,-500,7,0,1,HS2323,108500,C3
3,-500,-7,-11,0,HS2323,108500,C3
3,-500,0,15,1,HS2323,108500,C3
3,-500,5,16,1,HS2323,108500,C3
3,2000,0,0,1,LS3410,94500,C3
3,-500,0,16,1,HS2323,108500,C3
3,2000,0,38,1,LS3410,94500,C3
3,1500,7,8,1,HS2323,108500,C3
3,1500,0,8,1,HS2323,108500,C3
3,-14800,0,4,0,HS2200,98000,C3
3,-1000,-10,5,0,HS2200,106000,C3
3,-1000,-30,3,1,HS2200,106000,C3
